movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0029583;Snow White and the Seven Dwarfs;Adventure,Animation,Family;7.6;219884;1488423.0;184925486.0;1938-02-04;en;53.443;witch,dying and death,princess,becoming an adult,dwarf,poison,sadness,queen,attempted murder,villain,miner,apple,candlelight vigil,evil queen,based on fairy tale,magic mirror
tt0029843;The Adventures of Robin Hood;Action,Adventure,Romance;7.9;55307;2033000.0;3981000.0;1938-05-13;en;30.093;sword,repayment,robin hood,archer,richard the lionheart,sherwood forest,sword fight,nottingham,historical fiction,disguise,swashbuckler,medieval,technicolor,based on myths, legends or folklore,saxons,action hero,12th century,vigilante justice,cheerful,excited
tt0029947;Bringing Up Baby;Comedy;7.8;67114;1073000.0;0.0;1938-02-18;en;12.683;prison,donation,museum,zoo,affectation,paleontologist,leopard,bone,cross dressing,black and white,screwball comedy,irreverent,lighthearted,witty,audacious,cheerful
tt0030341;The Lady Vanishes;Mystery,Thriller;7.7;58243;0.0;0.0;1938-10-07;en;14.873;espionage,secret agent,flowerpot,concussion,search for witnesses,gay interest,conspiracy,train,british spy,old lady,missing person,magician
tt0031381;Gone with the Wind;Drama,Romance,War;8.2;339494;4000000.0;402352579.0;1939-03-12;en;32.517;civil war,based on novel or book,marriage crisis,loss of loved one,widow,atlanta,slavery,plantation,typhus,romance,casualty of war,second marriage,american civil war,technicolor,reconstruction era,businesswoman,1860s,1870s,antebellum south,compassionate,powerful
tt0031679;Mr. Smith Goes to Washington;Comedy,Drama;8.1;123293;1500000.0;9600000.0;1939-10-19;en;13.446;governor,washington dc, usa,senate,senator,sightseeing,politician,idealist,dam,camp,conservative,black and white,disillusionment,political corruption,integrity,usa politics,determination,filibuster,walkout,political machine,smear campaign,expulsion attempt
tt0031971;Stagecoach;Adventure,Drama,Western;7.8;55130;531374.0;1103757.0;1939-03-03;en;19.829;marriage proposal,prostitute,new mexico,arizona,infant,outcast,fugitive,shootout,black and white,doctor,desert,stagecoach,cowboy,stranger,indian attack,outlaw gang,ostracism,calvary,drunkard
tt0032138;The Wizard of Oz;Adventure,Family,Fantasy;8.1;436486;2777000.0;33754967.0;1939-08-15;en;60.347;witch,adolescence,dream,based on novel or book,secret identity,lion,tornado,twister,scarecrow,villain,musical,kansas, usa,imaginary land,cowardliness,monkey,female villain,fantasy world,wizard,sepia color,hourglass,red shoes,based on young adult novel,tin man,wicked,whimsical,adoring,bold,cheerful,exuberant,oz,wizard of oz,wonderful wizard of oz
tt0032455;Fantasia;Animation,Family,Fantasy;7.7;105921;2280000.0;76411819.0;1940-11-13;en;34.283;classical music,villain,orchestra,musical,cartoon mouse,wizard,live action and animation
tt0032551;The Grapes of Wrath;Drama;8.1;101795;800000.0;1591000.0;1940-03-15;en;14.056;farm,california,based on novel or book,capitalism,ex-detainee,oklahoma,great depression,road trip,jail
tt0032553;The Great Dictator;Comedy,Drama,War;8.4;241866;2000000.0;11000000.0;1940-10-15;en;22.659;amnesia,nazi,hairdresser,propaganda,world war i,dictator,jewish ghetto,fascism,world war ii,national socialism,national socialist party,satire,speech,black and white,barbershop,anti war,fictitious country
tt0032599;His Girl Friday;Comedy,Drama,Romance;7.8;64371;0.0;0.0;1940-01-18;en;12.663;prison,journalist,suicide,journalism,based on play or musical,wager,fugitive,black and white,screwball comedy,corrupt politician,newspaper editor,insurance agent,fiancé fiancée relationship,press room,political corruption,rolltop desk,reprieve,criterion,bride-to-be,ex spouses,imminent execution,convicted murderer,comedy of remarriage
tt0032904;The Philadelphia Story;Comedy,Romance;7.8;75027;0.0;0.0;1940-12-05;en;12.941;journalist,philadelphia, pennsylvania,strong woman,photographer,journalism,swimming pool,remarriage,hangover,reporter,black and white,divorcee,screwball comedy,socialite,ex-husband ex-wife relationship,high society,fiancé fiancée relationship,divorced couple,family estate,inebriated,imminent wedding,kid sister,love quadrangle,mischievous,tabloid journalism,comedy of remarriage,romantic
tt0032910;Pinocchio;Adventure,Animation,Comedy;7.5;163207;2600000.0;164000000.0;1940-02-23;en;70.273;rescue,sea,child abuse,based on novel or book,magic,whale,italy,lie,fairy,villain,carnival,wish,puppet,nose,conscience,wish fulfillment,toy comes to life,animal cruelty,child slavery,pinocchio,cartoon donkey
tt0032976;Rebecca;Drama,Mystery,Romance;8.1;149545;1288000.0;7592465.0;1940-03-23;en;22.113;based on novel or book,age difference,obsession,monte carlo,bride,cornwall, england,love,film noir,rural area,devotion,housekeeper,gothic,death,estate,costume party,mysterious death,gothic thriller,age-gap relationship
tt0033467;Citizen Kane;Drama,Mystery;8.3;473008;839727.0;23218000.0;1941-04-17;en;30.432;media tycoon,florida,art collector,newspaper,capitalist,journalist,sleigh,banker,american dream,failure,money,snowglobes,child,pretentious,based on real person
tt0033563;Dumbo;Adventure,Animation,Drama;7.2;144526;812000.0;1600000.0;1941-10-31;en;48.915;mother,dream,nightmare,suffering,circus,clown,ear,musical,crow,affection,storch,big ears,cartoon mouse,cartoon elephant
tt0033870;The Maltese Falcon;Crime,Film-Noir,Mystery;7.9;168569;375000.0;1772000.0;1941-10-18;en;16.514;based on novel or book,san francisco, california,loss of loved one,detective,film noir,murder,statuette,whodunit,black and white,private detective,black bird,private eye
